Abraham,Sally,abraham@example.com,sally@example2.com,2007,2008,2011
Brown,Nancy,brown@example.com,nancy@example2.com,2007,2008,2011,2019p
Jones,Mary,jones@example.com,mary@example2.com,2008,2011
Jackson,Jane,jackson@example.com,jane@example2.com,2007,2011,2012p,2019
O'Connor,June,o'connor@example.com,june@example2.com,2012p
Abraham,Paul,abraham@example.com,paul@example2.com,2012,2019
Brown,Tom,brown@example.com,tom@example2.com,2007,2012p
Jones,Sam,jones@example.com,sam@example2.com,2011,2019
Jackson,David,jackson@example.com,david@example2.com,2007,2011p
O'Connor,Jethro,o'connor@example.com,jethro@example2.com,2011,2012,2019
Brooks,Claire,brooks@example.com,claire@example2.com,2008p,2011
Cooke,Edward,cooke@example.com,edward@example2.com,2011,2012p,2019
